SYMBOL,C1,C2,C3,T1,T2,T3
Tbc1d9b,7032.900243,7645.041555,7477.736132,1134.412876,1112.841731,1049.075654
Parvg,3062.510026,3053.277416,2983.195436,780.4866234,769.8425675,773.4504534
Il12rb1,11477.16405,11957.71911,11773.92373,3346.451952,3356.310335,3169.082705
Ccnd2,12600.68844,13298.73891,12661.24665,4046.380735,3970.321184,3981.387813
Kansl3,1955.294863,1917.623212,1953.690215,8356.885538,9004.363232,8403.533105
Ssh2,4353.657004,4404.828787,4205.78774,12054.6225,12438.58943,12129.93725
Fam168b,6619.73321,6834.988363,6801.053672,18471.51675,19292.64432,18561.59667
Smox,6434.895327,6454.974244,6636.051983,27983.94509,29698.64611,27214.0424
Neo1,415.8852373,453.7351032,425.6692517,2938.380266,3007.382791,3147.226963
Rab8b,11430.04851,11751.47588,11212.21586,52444.47511,57647.57303,54683.06848
Cd47,2315.003881,2392.421453,2447.817614,6807.797874,6809.168584,6814.134921
Chaf1a,2682.867511,2741.718496,2628.617338,464.8583612,496.290148,468.6842622
Myo6,33143.06339,34143.34711,35053.20462,8613.085885,9176.286269,8686.443553
Pank3,3063.416094,3263.031168,3267.560049,12808.69672,13461.65854,12874.24671
Dusp16,2701.89494,2864.586802,2730.42689,11571.27546,12425.88575,11968.4476
Rybp,396.8578081,411.6088267,387.9295036,2196.191632,2185.03171,2113.936012
Dennd1c,4641.786646,5184.164903,4954.439022,550.6986835,545.4110159,509.9673319
Tab2,7233.141283,7085.990761,6893.208871,36504.58755,39352.59047,35638.21704
Mtpn,7378.112172,7817.934815,7696.275604,23439.69049,23955.73912,23046.88078
Ccser2,2773.474316,2935.674894,2826.970432,10628.35253,11279.16756,10790.6659
Nabp1,4169.725189,4515.410263,4606.882272,588.9966735,611.4701141,594.9618872
Hif1a,16599.16677,17677.23878,17391.00252,73046.15248,77446.67044,72042.5993
Jmy,511.9284511,566.9494713,528.3564732,3427.009793,3492.663089,3649.909047
Timeless,1957.106999,2026.449426,1935.259175,281.2921333,288.7968267,273.196785
Ucp2,45256.28721,46634.66572,46206.61668,6614.987304,7248.71566,6333.308579
Atg14,239.2019665,243.1037207,224.6831514,1836.982899,1885.225033,1782.457246
Wac,3586.217362,3600.919011,3528.227612,13568.05342,14476.25853,14742.91272
Nedd4,9537.272347,10047.11695,9602.571716,2130.160615,2047.832044,1942.732693
Ccny,2613.100271,2565.314713,2700.586159,8006.921147,8200.644203,7888.708941
Kntc1,3032.60978,3229.681199,2932.290659,180.9249872,149.9033382,163.918071
Zc3hav1,9101.453613,9393.28203,8969.772684,28159.5876,29130.36848,27560.09167
Poldip3,3498.32876,3444.700735,3290.379432,13165.26421,13769.08742,12939.81394
Rb1cc1,1909.99146,1868.475889,1886.987404,8022.768591,8680.843033,8044.127557
Otud4,3972.202353,4144.172451,4182.968357,14159.69133,14848.8996,14031.38688
Vps4b,2837.805148,2954.10514,2955.110042,7952.775713,8233.673753,8090.267458
Pde4d,1471.454521,1421.761832,1420.945399,9878.240175,11140.27407,10026.92911
Mkrn1,1337.356449,1329.610602,1348.976577,5830.53882,6251.900807,5767.487682
Socs3,5252.476515,5246.476687,5364.310239,1431.552453,1319.488141,1339.27135
Eif1a,1947.14025,1955.361335,2035.313391,6957.027973,7407.935025,7163.826805
Ntng2,4140.731011,4428.524818,4123.286895,581.0729514,642.8058402,602.2471348
Itgal,19666.20713,20114.4194,19510.57209,9929.744368,10051.99278,9940.720348
Nr4a1,439.4430067,473.9206107,445.8556285,4515.200957,4796.906823,4197.516825
Tubb4b,9822.683785,9696.942273,9970.314843,2849.898703,3073.441889,2955.382109
Rasal3,14393.79712,14825.81644,14707.09206,4605.00314,4444.591633,4261.869845
Myl12b,6553.590242,6548.880735,6686.956759,1637.569227,1593.887472,1482.547886
Crem,1044.696467,1147.941035,1173.442865,7905.23338,8613.937023,8433.888303
Nepro,1206.882649,1270.809341,1245.411687,3985.632199,4046.54322,4133.163804
Smad5,795.5277523,747.741408,789.9017041,3301.55086,3425.75708,3262.576716
Ubl3,1326.483633,1340.142171,1365.65228,6534.429463,6701.610821,7214.823539
Rapgef2,6956.790527,7315.052389,6623.764623,30551.23104,31588.95261,30217.99283
Bnip3l,1046.508604,1101.426605,1125.171094,5224.374082,5649.746719,5497.933521
Unc13d,4048.31207,4109.944852,4106.611193,747.4711148,841.8300463,802.5914438
Kdm5b,1785.860136,1921.133735,1872.067039,11124.90578,12153.18025,10993.43863
Ccr4,863.4828564,882.0189144,936.4723536,4206.175796,4111.755407,4360.220688
Pola2,2421.919911,2519.677914,2524.174779,361.8499743,399.7422353,363.048172
Adipor2,2712.767757,2884.77231,2835.747118,9330.182732,9804.694614,9456.251383
Pttg1ip,1897.306507,1888.661397,1926.482489,6523.8645,7002.264409,6646.574226
Pkn2,1781.329796,1803.531213,1719.352709,7375.664622,8025.33352,7613.083741
Foxm1,2994.554922,3076.973447,2991.972121,554.6605446,492.0555904,501.4678764
Nr2c2,1570.215939,1537.609093,1419.190062,6537.070704,6657.571422,6543.366552
Aldh3a1,8951.952384,8925.504835,9415.628313,1259.871808,1443.137222,1376.911796
Bmt2,257.3233276,287.8628895,251.0132082,1959.800591,2021.577787,1994.943634
Jag1,337.9633845,321.2128584,288.7529563,3292.306518,3625.628197,3543.058749
Ccr2,11495.28541,11922.61388,12122.35815,3120.625873,3240.283458,2996.665179
Bckdk,1410.747962,1369.981617,1409.535708,142.6269972,156.6786303,160.2754472
Tcf12,2860.45685,3030.459016,2955.110042,7711.10219,7782.269915,7667.723098
Btbd7,1487.763746,1506.014385,1409.535708,4980.059318,5152.60966,4987.966189
Coro2a,13645.38491,14821.42828,14282.30048,3117.984633,3048.034544,2877.672801
Ets1,17477.14671,17593.86386,17551.61586,45416.13364,48090.17658,45398.02041
Fam91a1,2304.131064,2456.488499,2244.198508,8547.054868,8715.566405,8703.442465
Oser1,342.4937248,325.6010122,333.5140528,2140.725578,2350.179455,2232.928389
Abcb9,4332.817439,4543.494447,4324.272996,1044.610692,974.7951542,962.866891
Ptbp2,617.9384135,683.6743625,669.6611114,4682.91974,4796.906823,4357.792272
Kbtbd2,1456.957432,1547.263031,1498.180232,6591.216138,7213.145376,6890.63002
Prps1l3,1233.158623,1276.952757,1262.965058,4240.511925,4485.243385,4265.512469
Lat2,3626.990424,3742.217563,3842.432956,1084.229303,1074.730713,1091.572932
Birc3,5010.556344,4855.930998,5072.924277,909.9074171,990.886473,882.7291674
Nopchap1,1502.260835,1515.668323,1498.180232,4104.48803,4258.271099,4100.38019
Ganab,9119.574974,9253.738739,9067.193894,3912.99808,3945.76075,3771.32984
Adss,2112.044636,2235.325547,2242.443171,7540.742165,7918.622669,7537.802849
Pola1,2395.643938,2237.958439,2324.066347,445.049056,452.2507492,431.0438163
Slc7a8,6191.16302,6326.840153,5953.225843,982.5415361,1078.118359,953.1532275
Scly,2026.874239,1988.711303,2142.388955,303.7426792,294.7252074,279.2678246
Il27ra,4620.041013,4572.456263,4545.445473,1493.621609,1529.522197,1426.694321
Daam1,1320.141156,1404.209217,1404.269696,6637.43785,7034.447047,6421.945758
Fam199x,610.6898691,597.6665479,607.3466436,2905.364757,3172.530537,3139.941715
Pcyt1a,3002.709534,3187.554922,2861.199506,14389.47927,14986.94618,14118.80985
Pgghg,1331.920041,1365.593463,1441.131776,103.0083868,99.93555881,97.13663465
Trappc8,2376.616508,2423.13853,2480.291351,7568.475193,8011.782935,8044.127557
Avil,1341.88679,1420.884201,1408.658039,155.8332006,158.3724534,148.1333678
Crkl,2359.401215,2351.172808,2346.88573,7513.009138,8114.259229,7693.221464
Scd2,10221.35373,10405.1903,10410.02679,5311.535024,5317.757405,5198.024162
Tipin,1669.883425,1699.970783,1720.230378,379.0180388,372.6410668,367.9050037
Gnaq,2597.697114,2573.21339,2603.164949,10699.66603,11761.06021,10751.81125
Zfp760,209.3017207,202.7327057,210.6404544,1304.7729,1336.426371,1273.704122
Was,4221.371068,4296.002573,4328.661338,1151.58094,1251.73522,1183.852735
Tpp1,7445.161208,7660.838909,7517.231217,3405.879868,3483.347063,3409.495876
Adamts10,1596.491913,1645.557676,1608.766471,178.2837465,147.3626037,154.2044075
Snx18,1755.053823,1837.758813,1984.408614,11032.46236,11788.16138,10950.94135
Fam107b,5518.860523,5755.502528,5810.165868,22739.76171,25062.65247,23619.98692
Il24,2692.83426,2832.114464,2822.582089,714.4556062,708.8649384,682.3848584
Mcm6,8577.746277,8946.567973,8977.671701,2744.249075,2849.857249,2670.043245
Trpm7,4073.681975,4127.497467,3837.166945,15774.81001,16880.64032,15839.34249
Clspn,4157.040236,4204.728974,4223.341111,497.8738698,560.6554232,468.6842622
Dock2,17342.14257,17901.03462,16429.07778,4038.457013,4082.113504,3802.899247
Sp3,3599.808383,3722.032056,3543.147977,13587.86272,14184.07406,13005.38117
Retreg3,2227.115279,2282.717608,2370.582781,7851.087946,8226.89846,7733.290326
Gimap8,8295.053044,8395.415856,8188.647666,516.3625546,477.6580947,392.1891624
Aagab,1128.960797,1175.147588,1175.198202,4231.267583,4436.122518,4138.020636
Il2ra,79984.96969,81848.72236,79451.82407,27643.22504,27668.59921,25835.9164
Il7r,28539.3316,30560.85834,29313.25224,9833.339083,10111.27658,9684.522475
Slc49a4,233.7655582,218.5300594,236.9705112,1867.357167,1795.452413,1695.034275
Kpna4,4987.904643,4918.242782,4861.406154,12482.50349,12973.8375,12259.8575
Maea,2640.282312,2496.859514,2572.44655,7701.857847,8019.405139,7617.940572
Jarid2,936.8743689,1022.439836,927.695668,5228.335943,5484.598974,5057.176041
Nr1d2,2643.906585,2757.51585,2733.059896,10557.03903,11083.531,10098.56738
Gnb1,10585.59309,10887.88722,10738.27483,21151.05543,21757.15683,21849.67176
Snd1,7668.960018,7552.890325,7623.429113,2595.018976,2539.040723,2393.203836
G3bp2,5308.652734,5455.352808,5452.954764,12965.85054,13502.31029,12888.81721
Cdc6,2060.398757,1960.627119,2041.457071,295.8189571,267.6240389,251.3410422
Cnnm2,2380.240781,2247.612378,2025.659037,17079.58291,18115.43731,16848.34928
Lrp12,1478.703066,1505.136754,1375.306634,6247.854848,6388.25356,6005.472437
Cdc73,1618.237546,1554.284077,1609.644139,5510.948696,5800.496969,5395.940055
Ythdf3,2129.259929,2208.118994,2231.911148,7182.854052,7500.24838,6998.694526
Stam,848.9857676,784.6018999,836.4181378,3195.901233,3366.473274,3306.288202
Celf1,4792.193943,4912.976998,4517.360079,26441.46053,27911.66281,24820.83857
Pqlc3,2662.934014,2716.267204,2733.059896,596.9203956,549.6455735,524.5378271
Epc2,1369.068831,1296.260633,1290.172783,5830.53882,6376.396799,5916.835258
Blcap,698.5784704,798.6439921,789.9017041,4656.507334,4912.086789,4697.770493
Lamc1,3665.045283,3827.347747,3597.563428,9537.520126,9557.396451,9368.828412
Ramp3,79.73398884,80.74202997,65.82514201,1246.665605,1238.184635,1164.425408
Zfand6,1485.95161,1553.406446,1584.191751,4564.06391,4735.929194,4620.061185
Rsbn1l,2282.385431,2462.631914,2424.998232,10707.58975,11598.4532,10654.67461
Ctdsp2,1823.008927,1913.235058,1980.89794,6011.463807,5995.286617,6143.892142
Dstn,1130.772933,1127.755527,1168.176853,4631.415547,5081.469092,5007.393516
Scaf8,2764.413636,2872.485479,2723.405542,11119.6233,12119.30379,11150.07145
Qki,3125.028722,3163.858892,3035.855549,10889.83536,11577.28042,10634.03308
Gmfb,3246.441841,3278.828521,3372.002608,11997.83583,12281.9108,11243.56546
Tollip,2633.033768,2617.972559,2718.139531,7748.079559,8293.80447,7997.987655
Rasa1,2467.223314,2535.475267,2400.423512,8844.194445,9503.194114,8832.148505
Rc3h1,2291.446111,2448.589822,2280.182919,8245.953429,8764.687273,8414.460976
Trmt10c,443.973347,443.2035341,443.2226229,1665.302254,1697.210677,1642.823334
Thumpd1,1347.323198,1367.348725,1399.881353,4631.415547,4953.585453,4652.8448
Suco,1768.644843,1815.818044,1769.379817,6006.181325,6338.285781,5856.124861
Atp6v0a1,2235.269892,2315.189946,2256.485868,604.8441176,611.4701141,641.1017887
Smg7,3691.321256,3772.93464,3476.445167,16794.32892,18107.81511,16510.79947
Nup62,2733.607322,2580.234436,2570.691213,7340.007873,7285.979767,7505.019235
Tlk1,5824.205458,5683.536805,5689.925275,17234.09549,18242.47404,16875.06185
Nomo1,4104.488289,4395.174849,4194.378049,1142.336598,1174.666272,1200.851646
A130040M12Rik,31848.29213,33001.54949,32979.27381,9979.927941,10544.89528,9688.165098
Cxcr4,105.1038944,75.47624541,98.29887873,2876.31111,3026.861756,2717.397354
Crebrf,1365.444559,1331.365864,1360.386268,6731.201894,7209.75773,6377.020065
Zfp36l1,1974.322292,1987.833673,2016.882351,7230.396384,7524.808814,6860.274822
Picalm,5294.155646,5246.476687,5129.095065,12096.88235,12715.52949,12347.28047
Ipo7,4603.731788,4543.494447,4396.241818,12050.66064,12733.31463,12219.78864
Prpf39,1698.877603,1728.054968,1848.369988,12288.3723,13371.039,11590.82893
Map3k2,2933.848362,2976.045909,2697.075485,12692.48213,13433.71046,12599.83572
Stxbp2,3826.325396,3633.391349,3794.161185,1162.145903,1156.88113,1109.786051
Tial1,1981.570836,2022.061272,2004.594991,6485.56651,6551.707483,6089.252785
Pclaf,3898.810841,4016.03836,4099.589844,306.3839199,236.2883128,254.983666
Uhrf2,3055.261482,2960.248555,2932.290659,14304.95957,14588.89776,13023.59429
Cand1,3583.499158,3616.716364,3520.328595,8968.332757,9497.265733,9400.397818
Anapc5,3688.603052,3676.395256,3550.169326,1171.390245,1178.900829,1232.421052
Atp2b4,8331.295766,8370.842194,7580.423354,1329.864687,1265.285804,1183.852735
Rnf145,4237.680293,4202.973712,4093.446164,11711.26121,12230.24919,11437.83873
Rnf152,265.4779401,334.3773198,301.0403161,3445.498478,3624.781286,3438.636867
Rictor,2222.584939,2392.421453,2108.159881,11950.29349,12892.534,12213.7176
Alkbh5,3761.088496,3557.037473,3640.569187,12988.30109,14208.63449,13474.06543
Osm,13823.88032,14554.62853,15253.00191,2806.318231,2915.069436,2632.402799
Rbm27,2008.752878,2135.27564,2197.682075,10671.933,11729.72449,10715.38501
Adgrg5,4540.307024,4770.800814,4633.212329,1245.344985,1346.589309,1266.418874
Crebbp,2247.048776,2344.151761,2080.074487,12312.14347,13303.28608,12252.57225
Wls,5331.304436,5520.297484,5772.42612,1578.141311,1609.978791,1551.757739
Ranbp9,2499.841764,2444.201668,2600.531944,6972.875417,7221.614492,7277.962351
Nmt2,1469.642385,1420.884201,1499.935569,7153.800404,7749.240366,6906.414724
Knstrn,1655.386337,1658.722137,1744.805097,161.115682,181.2390643,149.3475758
Nrros,4241.304566,4379.377495,4527.014433,1274.398632,1237.337724,1306.487736
Erbin,12854.3875,13182.01402,12055.65534,40165.34715,41092.99364,39923.15684
Ice1,2235.269892,2309.046531,2104.649207,8260.480253,8784.166238,8560.165928
Sec22b,1446.084616,1499.87097,1462.195821,4389.742024,4493.712501,4229.086231
Slc25a19,8097.530208,8090.877982,8127.210867,3613.217262,3694.22803,3495.704639
Top2b,4643.598782,4909.466475,4537.546456,16194.76728,17242.27154,16349.30982
Itprid2,5510.705911,5972.277326,5819.820222,17210.32433,17140.64216,16689.28804
Luc7l3,2439.135204,2426.649053,2317.044999,16951.48274,18388.14282,15566.1457
Arntl,739.3515329,703.85987,730.220242,3549.827485,3824.652403,3438.636867
Vopp1,1292.053046,1263.788295,1415.679387,5850.348125,6136.72084,5933.834169
Ogdh,6184.820544,6573.454397,6067.322756,1763.028159,1731.934049,1807.955612
Mfsd14b,2057.680553,2196.709794,2068.664796,6694.224525,6898.941204,6538.50972
Pde7a,354.2726095,385.2799039,354.5780983,2735.004733,2889.66209,2544.979828
Rnf11,1198.728037,1142.67525,1274.374749,4997.227382,5233.913165,5266.019806
Ube2e3,800.0580926,795.1334691,837.2958063,2517.102376,2488.226032,2447.843193
Rnf125,239.2019665,260.6563359,269.444248,2180.344188,2462.818687,2441.772153
Dbnl,7476.87359,7780.196692,8150.030249,2023.190367,2083.402328,1950.017941
Tlk2,1428.869323,1483.195985,1377.939639,5485.85691,5945.318838,5612.069067
Arl5b,379.6425151,353.6851965,322.9820301,2355.986694,2471.287802,2517.053045
Map4k3,1705.22008,1649.068199,1657.038241,8129.738839,8334.456223,7396.954729
Gstm1,2084.862595,2164.237456,2172.229686,302.4220588,266.7771273,315.6940626
Zfp654,554.5136497,608.1981171,558.1972042,2245.054585,2247.703162,2230.499973
Timm29,935.9683008,935.5543908,993.52081,2868.387388,2837.153577,2830.318692
Chmp2b,933.2500967,978.558298,978.6004445,3540.583143,3816.183288,3584.341819
Gpat4,2535.178418,2634.647543,2661.968743,6053.723658,6208.708319,6185.175211
Ccdc117,841.7372231,928.5333447,909.2646283,3453.4222,3602.761586,3481.134144
Pold1,3875.253071,3917.743715,3830.145596,697.2875417,805.4128511,780.735701
Stab1,2247.048776,2442.446407,2334.59837,375.0561777,347.2337213,324.1935181
Plekhf2,659.6175441,662.6112242,719.6882193,2921.212201,3018.392641,2838.818148
Dpp8,3589.841634,3846.655624,3875.784361,1026.122007,1041.701164,1036.933575
Ube2o,1666.259153,1656.966876,1545.574334,7082.486906,7750.934189,7166.255221
Ccnl1,2845.959761,2857.565756,2994.605127,11838.04077,12376.76489,11140.35779
Rab5b,2363.931556,2358.193854,2464.493317,574.4698497,534.4011662,514.8241636
Rfc5,1260.340665,1267.298818,1247.167024,228.4673195,207.4933213,228.2710914
Slc25a11,2020.531763,2079.107272,2172.229686,224.5054585,248.145074,273.196785
Kdm6a,1557.530987,1692.949737,1542.06366,6184.465072,6500.892792,6196.103083
Smurf1,1087.281666,1197.965988,1065.489632,4733.103314,4670.717007,4757.266682
Mob1b,660.5236121,688.940147,631.9213633,3664.721455,3715.400818,3357.284935
Clk1,1823.008927,1892.17192,1788.688525,9705.238909,10774.4083,9470.821878
Plcl2,2232.551688,2373.113577,2327.577021,5780.355247,5891.963412,5765.059266
Lims1,1765.020571,1725.422075,1635.096527,5373.604181,5641.277604,5440.865748
Fndc9,75.20364857,93.02886062,96.54354161,1339.109029,1316.947406,1243.348924
Dusp4,467.5311164,426.5285496,449.3663028,2083.938903,2165.552745,2021.656209
Ddx10,1164.297451,1154.08445,1229.613653,3636.988428,3783.153739,3634.124344
Zzz3,2115.668908,2051.023087,2086.218167,6438.024178,6964.153391,6534.867096
Hipk1,8081.220983,8301.509364,7702.419283,26226.19942,27800.7174,26053.25962
Ppp4r3b,4410.739292,4618.970693,4412.039852,15403.71569,16916.21061,15862.41244
Enc1,460.282572,436.182488,470.4303482,1748.501336,1741.250076,1800.670365
Clock,1634.546771,1629.760322,1528.898632,7526.215342,7822.074756,7009.622398
Tcf3,3112.343769,3145.428646,3085.004989,1317.979104,1309.325203,1314.987192
Slc16a1,1395.344805,1392.800017,1510.467592,4721.21773,4899.383116,4800.978168
Lmo4,708.545219,695.9611931,790.7793727,5116.083213,5406.683114,4825.262326
Tmem201,864.3889245,900.4491603,892.5889256,3560.392448,3762.827863,3420.423748
Tbcd,2558.736187,2627.626497,2578.59023,971.9765733,973.1013312,982.2942179
Tex2,5471.744984,5888.902403,5676.760247,14635.11465,14647.33466,14344.65252
Wtap,2315.909949,2279.207085,2417.099215,7172.289089,7680.640533,7594.870622
Supt20,2949.251519,2893.548618,2842.768466,5985.0514,6081.671592,5966.617783
Smurf2,967.6806828,899.5715296,955.781062,3713.584408,3906.80282,3615.911225
Fam222b,1027.481174,1061.05559,1040.037244,2665.011855,2709.269938,2657.901166
Shmt2,5021.429161,4897.179644,5048.349558,1879.24275,1949.590308,1834.668187
Cnot2,2339.467718,2414.362222,2454.838963,9868.995832,10537.27307,9417.396729
Slc19a2,498.3374303,594.1560249,524.8457989,3687.172001,3834.815342,3662.051126
Apobec3,5648.428255,5859.062958,5781.202805,1303.45228,1464.31001,1334.414518
Cltc,16132.54172,16765.38042,15892.82229,45777.98361,49242.82315,46992.27543
Ndel1,1875.560874,1875.496935,1922.971815,5430.390855,5858.086952,5734.704068
Zbtb44,873.4496051,935.5543908,854.8491775,5557.170408,6176.525682,5426.295253
Lig1,5963.739938,6231.1784,6421.023186,956.1291292,1094.209678,1094.001348
Zfp317,1016.608358,1033.849036,1047.058592,3210.428057,3432.532372,3248.006221
Taf5l,1156.142838,1097.038451,1097.963369,3733.393713,3849.212837,3596.483898
Gimap3,11590.42256,11853.28105,12120.60282,2330.894907,2284.967268,2016.799377
Dhx15,6412.243625,6634.010919,7003.79511,23595.52369,24828.9049,23179.22944
Vps37b,4186.940482,4353.048572,4290.043922,19735.35042,22240.74331,19736.94995
Kpna1,2261.545865,2359.949115,2460.104974,7586.963877,7958.42751,7576.657503
Rock2,2778.910725,2921.632802,2719.017199,8416.313454,8702.862732,8237.186618
Mynn,1993.349721,1921.133735,1988.796957,7465.466806,8154.06407,7395.740521
Stard7,2157.348039,2070.330964,2116.058898,4554.819567,4606.351732,4616.418562
Epc1,1475.078794,1502.503862,1436.743433,4822.905497,4997.624852,4613.990146
Phf19,1115.369776,1132.143681,1079.532329,128.1001734,110.9454085,103.2076743
Galnt6,6937.763097,7279.947159,7170.552136,2766.699621,2643.210839,2773.250919
Phf2,3136.807607,3303.402183,3237.719318,8218.220402,8233.673753,7881.423694
Dhfr,1115.369776,1157.594973,1092.697357,142.6269972,155.8317188,162.703863
E2f8,2522.493465,2648.689635,2522.419442,142.6269972,181.2390643,138.4197044
Pde4b,3029.891576,3223.537784,2890.162568,12671.3522,13662.37657,12919.17241
Kat7,3295.369516,3470.152027,3328.996848,8401.78663,8840.062398,8635.44682
Preb,3032.60978,3227.925937,3112.212714,672.1957552,682.6106814,607.1039666
Spata2,1209.600853,1199.72125,1124.293425,3784.897906,3813.642554,3651.123255
Miat,1393.532669,1316.446141,1397.248348,116.2145903,94.85408972,87.42297118
Zfp622,1630.922499,1557.7946,1756.214789,6665.170877,6689.75406,6452.300957
Gpbp1,3051.637209,3240.212768,3311.443477,11332.24317,12277.67624,11679.46611
Eif2s2,2070.365506,2144.929579,2098.505527,6294.07656,6689.75406,6199.745706
Osbpl2,1393.532669,1379.635556,1394.615342,3092.892846,3150.510837,3113.229141
Tmx4,1693.441195,1685.05106,1649.139224,4874.40969,5249.157572,4953.968367
Jak3,13662.6002,14189.53414,13277.36998,3239.481704,3288.557414,2938.383198
0610030E20Rik,954.99573,987.3346056,967.1907532,3540.583143,3568.885126,3286.860875
Atp7a,548.1711733,543.2534408,506.4147592,2407.490887,2640.670105,2513.410422
Ccr5,4171.537325,4403.073526,4331.294344,1167.428384,1222.093317,1108.571843
Glul,4057.37275,4012.527837,4159.271306,9409.419952,9804.694614,9325.116926
Ubxn7,2032.310647,2193.199271,2220.501457,9429.229258,10431.40913,9679.665643
